Sentence #,Word,Tag
,Kocis,I-AUTHOR
,and,O
,William,B-AUTHOR
,Whiten,I-AUTHOR
,",",O
,Computational,B-TITLE
,Investigations,I-TITLE
,of,I-TITLE
,Low-Discrepancy,I-TITLE
,Sequences,I-TITLE
,",",O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Transactions,I-BOOKTITLE_OR_JOURNAL
,on,I-BOOKTITLE_OR_JOURNAL
,Mathematical,I-BOOKTITLE_OR_JOURNAL
,Software,I-BOOKTITLE_OR_JOURNAL
,",",O
,Volume,B-VOLUME
,23,I-VOLUME
,",",O
,Number,B-NUMBER
,2,I-NUMBER
,",",O
,1997,B-YEAR
,",",O
,pages,B-PAGES
,266-294,I-PAGES
,.,O
,Parameters,O
,:,O
,Input,O
,",",O
,int,O
,DIM_NUM,O
,",",O
,the,O
,spatial,O
,dimension,O
,.,O
,Input,O
,",",O
,int,O
,N,O
,",",O
,the,O
,number,O
,of,O
,elements,O
,of,O
,the,O
,sequence,O
,.,O
,Input,O
,",",O
,int,O
,STEP,O
,",",O
,the,O
,index,O
,of,O
,the,O
,subsequence,O
,element,O
,.,O
,0,O
,<,O
,=,O
,STEP,O
,is,O
,required,O
,Input,O
,",",O
,int,O
,SEED,O
,[,O
,DIM_NUM,O
,],O
,",",O
,the,O
,Halton,O
,sequence,O
,index,O
,corresponding,O
,to,O
,STEP,O
,=,O
,0,O
,.,O
,Input,O
,",",O
,int,O
,LEAP,O
,[,O
,DIM_NUM,O
,],O
,",",O
,the,O
,succesive,O
,jumps,O
,in,O
,the,O
,Halton,O
,sequence,O
,.,O
,Input,O
,",",O
,int,O
,BASE,O
,[,O
,DIM_NUM,O
,],O
,",",O
,the,O
,Halton,O
,bases,O
,.,O
,Output,O
,",",O
,double,O
,R,O
,[,O
,DIM_NUM,O
,N,O
,],O
,",",O
,the,O
,next,O
,N,O
,elements,O
,of,O
,the,O
,leaped,O
,Halton,O
,subsequence,O
,",",O
,beginning,O
,with,O
,element,O
,STEP.,O
,``,O
Sentence: 134,``,O
,@,O
,ingroup,O
,magma_double,O
,magma_dsbtype3cb,O
,is,O
,a,O
,kernel,O
,that,O
,will,O
,operate,O
,on,O
,a,O
,region,O
,(,O
,triangle,O
,),O
,of,O
,data,O
,bounded,O
,by,O
,st,O
,and,O
,ed,O
,.,O
,This,O
,kernel,O
,apply,O
,a,O
,left+right,O
,update,O
,on,O
,the,O
,symmetric,O
,triangle,O
,.,O
,Note,O
,that,O
,this,O
,kernel,O
,is,O
,very,O
,similar,O
,to,O
,type1,O
,but,O
,does,O
,not,O
,do,O
,an,O
,elimination,O
,.,O
,All,O
,detail,O
,are,O
,available,O
,on,O
,technical,O
,report,O
,or,O
,SC11,O
,paper,O
,.,O
,Azzam,B-AUTHOR
,Haidar,I-AUTHOR
,",",O
,Hatem,B-AUTHOR
,Ltaief,I-AUTHOR
,",",O
,and,O
,Jack,B-AUTHOR
,Dongarra,I-AUTHOR
,.,O
,2011,B-YEAR
,.,O
,Parallel,B-TITLE
,reduction,I-TITLE
,to,I-TITLE
,condensed,I-TITLE
,forms,I-TITLE
,for,I-TITLE
,symmetric,I-TITLE
,eigenvalue,I-TITLE
,problems,I-TITLE
,using,I-TITLE
,aggregated,I-TITLE
,fine-grained,I-TITLE
,and,I-TITLE
,memory-aware,I-TITLE
,kernels,I-TITLE
,.,O
,In,O
,Proceedings,B-BOOKTITLE_OR_JOURNAL
,of,I-BOOKTITLE_OR_JOURNAL
,2011,B-TITLE
,International,I-BOOKTITLE_OR_JOURNAL
,Conference,I-BOOKTITLE_OR_JOURNAL
,for,I-BOOKTITLE_OR_JOURNAL
,High,I-BOOKTITLE_OR_JOURNAL
,Performance,I-BOOKTITLE_OR_JOURNAL
,Computing,I-BOOKTITLE_OR_JOURNAL
,",",I-BOOKTITLE_OR_JOURNAL
,Networking,I-BOOKTITLE_OR_JOURNAL
,",",I-BOOKTITLE_OR_JOURNAL
,Storage,I-BOOKTITLE_OR_JOURNAL
,and,I-BOOKTITLE_OR_JOURNAL
,Analysis,I-BOOKTITLE_OR_JOURNAL
,(,I-BOOKTITLE_OR_JOURNAL
,SC,I-BOOKTITLE_OR_JOURNAL
,'11,B-TITLE
,),I-BOOKTITLE_OR_JOURNAL
,.,O
,ACM,B-PUBLISHER
,",",O
,New,B-ADDRESS
,York,I-ADDRESS
,",",I-ADDRESS
,NY,I-ADDRESS
,",",I-ADDRESS
,USA,I-ADDRESS
,",",O
,Article,B-PAGES
,8,I-PAGES
,",",I-PAGES
,11,I-PAGES
,pages,I-PAGES
,.,O
,http,B-URL
,:,I-URL
,doi.acm.org,I-URL
,10.1145,I-URL
,2063384.2063394,I-URL
,@,O
,param,O
,[,O
,in,O
,],O
,n,O
,The,O
,order,O
,of,O
,the,O
,matrix,O
,A,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,nb,O
,The,O
,size,O
,of,O
,the,O
,band,O
,.,O
,@,O
,param,O
,[,O
,in,O
,",",O
,out,O
,],O
,A,O
,A,O
,pointer,O
,to,O
,the,O
,matrix,O
,A,O
,of,O
,size,O
,(,O
,2,O
,nb+1,O
,),O
,-by-n.,O
,@,O
,param,O
,[,O
,in,O
,],O
,lda,O
,The,O
,leading,O
,dimension,O
,of,O
,the,O
,matrix,O
,A.,O
,lda,O
,>,O
,=,O
,max,O
,(,O
,"1,2",O
,nb+1,O
,),O
,@,O
,param,O
,[,O
,in,O
,],O
,V,O
,double,O
,array,O
,",",O
,dimension,O
,2,O
,n,O
,if,O
,eigenvalue,O
,only,O
,requested,O
,or,O
,(,O
,ldv,O
,blkcnt,O
,Vblksiz,O
,),O
,if,O
,Eigenvectors,O
,requested,O
,The,O
,Householder,O
,reflectors,O
,are,O
,stored,O
,in,O
,this,O
,array,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,TAU,O
,double,O
,array,O
,",",O
,dimension,O
,(,O
,n,O
,),O
,.,O
,The,O
,scalar,O
,factors,O
,of,O
,the,O
,Householder,O
,reflectors,O
,are,O
,stored,O
,in,O
,this,O
,array,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,st,O
,A,O
,pointer,O
,to,O
,the,O
,start,O
,index,O
,where,O
,this,O
,kernel,O
,will,O
,operate,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,ed,O
,A,O
,pointer,O
,to,O
,the,O
,end,O
,index,O
,where,O
,this,O
,kernel,O
,will,O
,operate,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,sweep,O
,The,O
,sweep,O
,number,O
,that,O
,is,O
,eliminated,O
,.,O
,it,O
,serve,O
,to,O
,calculate,O
,the,O
,pointer,O
,to,O
,the,O
,position,O
,where,O
,to,O
,store,O
,the,O
,Vs,O
,and,O
,Ts,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,Vblksiz,O
,constant,O
,which,O
,correspond,O
,to,O
,the,O
,blocking,O
,used,O
,when,O
,applying,O
,the,O
,Vs.,O
,it,O
,serve,O
,to,O
,calculate,O
,the,O
,pointer,O
,to,O
,the,O
,position,O
,where,O
,to,O
,store,O
,the,O
,Vs,O
,and,O
,Ts,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,wantz,O
,constant,O
,which,O
,indicate,O
,if,O
,Eigenvalue,O
,are,O
,requested,O
,or,O
,both,O
,Eigenvalue,O
,Eigenvectors,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,work,O
,Workspace,O
,of,O
,size,O
,nb,O
,.,O
,@,O
,return,O
,retval,O
,MAGMA_SUCCESS,O
,successful,O
,exit,O
,retval,O
,<,O
,0,O
,if,O
,-i,O
,",",O
,the,O
,i-th,O
,argument,O
,had,O
,an,O
,illegal,O
,value,O
,``,O
Sentence: 135,``,O
,@,O
,ingroup,O
,magma_magmaDoubleComplex,O
,magma_zhbtype3cb,O
,is,O
,a,O
,kernel,O
,that,O
,will,O
,operate,O
,on,O
,a,O
,region,O
,(,O
,triangle,O
,),O
,of,O
,data,O
,bounded,O
,by,O
,st,O
,and,O
,ed,O
,.,O
,This,O
,kernel,O
,apply,O
,a,O
,left+right,O
,update,O
,on,O
,the,O
,Hermitian,O
,triangle,O
,.,O
,Note,O
,that,O
,this,O
,kernel,O
,is,O
,very,O
,similar,O
,to,O
,type1,O
,but,O
,does,O
,not,O
,do,O
,an,O
,elimination,O
,.,O
,All,O
,detail,O
,are,O
,available,O
,on,O
,technical,O
,report,O
,or,O
,SC11,O
,paper,O
,.,O
,Azzam,B-AUTHOR
,Haidar,I-AUTHOR
,",",O
,Hatem,B-AUTHOR
,Ltaief,I-AUTHOR
,",",O
,and,O
,Jack,B-AUTHOR
,Dongarra,I-AUTHOR
,.,O
,2011,B-YEAR
,.,O
,Parallel,B-TITLE
,reduction,I-TITLE
,to,I-TITLE
,condensed,I-TITLE
,forms,I-TITLE
,for,I-TITLE
,symmetric,I-TITLE
,eigenvalue,I-TITLE
,problems,I-TITLE
,using,I-TITLE
,aggregated,I-TITLE
,fine-grained,I-TITLE
,and,I-TITLE
,memory-aware,I-TITLE
,kernels,I-TITLE
,.,O
,In,O
,Proceedings,B-BOOKTITLE_OR_JOURNAL
,of,I-BOOKTITLE_OR_JOURNAL
,2011,B-TITLE
,International,I-BOOKTITLE_OR_JOURNAL
,Conference,I-BOOKTITLE_OR_JOURNAL
,for,I-BOOKTITLE_OR_JOURNAL
,High,I-BOOKTITLE_OR_JOURNAL
,Performance,I-BOOKTITLE_OR_JOURNAL
,Computing,I-BOOKTITLE_OR_JOURNAL
,",",I-BOOKTITLE_OR_JOURNAL
,Networking,I-BOOKTITLE_OR_JOURNAL
,",",I-BOOKTITLE_OR_JOURNAL
,Storage,I-BOOKTITLE_OR_JOURNAL
,and,I-BOOKTITLE_OR_JOURNAL
,Analysis,I-BOOKTITLE_OR_JOURNAL
,(,I-BOOKTITLE_OR_JOURNAL
,SC,I-BOOKTITLE_OR_JOURNAL
,'11,B-TITLE
,),I-BOOKTITLE_OR_JOURNAL
,.,O
,ACM,B-PUBLISHER
,",",O
,New,B-ADDRESS
,York,I-ADDRESS
,",",I-ADDRESS
,NY,I-ADDRESS
,",",I-ADDRESS
,USA,I-ADDRESS
,",",O
,Article,B-PAGES
,8,I-PAGES
,",",I-PAGES
,11,I-PAGES
,pages,I-PAGES
,.,O
,http,B-URL
,:,I-URL
,doi.acm.org,I-URL
,10.1145,I-URL
,2063384.2063394,I-URL
,@,O
,param,O
,[,O
,in,O
,],O
,n,O
,The,O
,order,O
,of,O
,the,O
,matrix,O
,A,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,nb,O
,The,O
,size,O
,of,O
,the,O
,band,O
,.,O
,@,O
,param,O
,[,O
,in,O
,",",O
,out,O
,],O
,A,O
,A,O
,pointer,O
,to,O
,the,O
,matrix,O
,A,O
,of,O
,size,O
,(,O
,2,O
,nb+1,O
,),O
,-by-n.,O
,@,O
,param,O
,[,O
,in,O
,],O
,lda,O
,The,O
,leading,O
,dimension,O
,of,O
,the,O
,matrix,O
,A.,O
,lda,O
,>,O
,=,O
,max,O
,(,O
,"1,2",O
,nb+1,O
,),O
,@,O
,param,O
,[,O
,in,O
,],O
,V,O
,magmaDoubleComplex,O
,array,O
,",",O
,dimension,O
,2,O
,n,O
,if,O
,eigenvalue,O
,only,O
,requested,O
,or,O
,(,O
,ldv,O
,blkcnt,O
,Vblksiz,O
,),O
,if,O
,Eigenvectors,O
,requested,O
,The,O
,Householder,O
,reflectors,O
,are,O
,stored,O
,in,O
,this,O
,array,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,TAU,O
,magmaDoubleComplex,O
,array,O
,",",O
,dimension,O
,(,O
,n,O
,),O
,.,O
,The,O
,scalar,O
,factors,O
,of,O
,the,O
,Householder,O
,reflectors,O
,are,O
,stored,O
,in,O
,this,O
,array,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,st,O
,A,O
,pointer,O
,to,O
,the,O
,start,O
,index,O
,where,O
,this,O
,kernel,O
,will,O
,operate,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,ed,O
,A,O
,pointer,O
,to,O
,the,O
,end,O
,index,O
,where,O
,this,O
,kernel,O
,will,O
,operate,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,sweep,O
,The,O
,sweep,O
,number,O
,that,O
,is,O
,eliminated,O
,.,O
,it,O
,serve,O
,to,O
,calculate,O
,the,O
,pointer,O
,to,O
,the,O
,position,O
,where,O
,to,O
,store,O
,the,O
,Vs,O
,and,O
,Ts,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,Vblksiz,O
,constant,O
,which,O
,correspond,O
,to,O
,the,O
,blocking,O
,used,O
,when,O
,applying,O
,the,O
,Vs.,O
,it,O
,serve,O
,to,O
,calculate,O
,the,O
,pointer,O
,to,O
,the,O
,position,O
,where,O
,to,O
,store,O
,the,O
,Vs,O
,and,O
,Ts,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,wantz,O
,constant,O
,which,O
,indicate,O
,if,O
,Eigenvalue,O
,are,O
,requested,O
,or,O
,both,O
,Eigenvalue,O
,Eigenvectors,O
,.,O
,@,O
,param,O
,[,O
,in,O
,],O
,work,O
,Workspace,O
,of,O
,size,O
,nb,O
,.,O
,@,O
,return,O
,retval,O
,MAGMA_SUCCESS,O
,successful,O
,exit,O
,retval,O
,<,O
,0,O
,if,O
,-i,O
,",",O
,the,O
,i-th,O
,argument,O
,had,O
,an,O
,illegal,O
,value,O
,``,O
Sentence: 136,``,O
,Originally,O
,",",O
,we,O
,used,O
,a,O
,primitive,O
,polynomial,O
,of,O
,degree,O
,.poolwords,O
,over,O
,GF,O
,(,O
,2,O
,),O
,.,O
,The,O
,taps,O
,for,O
,various,O
,sizes,O
,are,O
,defined,O
,below,O
,.,O
,They,O
,were,O
,chosen,O
,to,O
,be,O
,evenly,O
,spaced,O
,except,O
,for,O
,the,O
,last,O
,tap,O
,",",O
,which,O
,is,O
,1,O
,to,O
,get,O
,the,O
,twisting,O
,happening,O
,as,O
,fast,O
,as,O
,possible,O
,.,O
,For,O
,the,O
,purposes,O
,of,O
,better,O
,mixing,O
,",",O
,we,O
,use,O
,the,O
,CRC-32,O
,polynomial,O
,as,O
,well,O
,to,O
,make,O
,a,O
,(,O
,modified,O
,),O
,twisted,O
,Generalized,O
,Feedback,O
,Shift,O
,Register,O
,.,O
,(,O
,See,O
,M.,B-AUTHOR
,Matsumoto,I-AUTHOR
,&,O
,Y.,B-AUTHOR
,Kurita,I-AUTHOR
,",",O
,1992,B-YEAR
,.,O
,Twisted,B-TITLE
,GFSR,I-TITLE
,generators,I-TITLE
,.,O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Transactions,I-BOOKTITLE_OR_JOURNAL
,on,I-BOOKTITLE_OR_JOURNAL
,Modeling,I-BOOKTITLE_OR_JOURNAL
,and,I-BOOKTITLE_OR_JOURNAL
,Computer,I-BOOKTITLE_OR_JOURNAL
,Simulation,I-BOOKTITLE_OR_JOURNAL
,2,B-VOLUME
,(,O
,3,B-NUMBER
,),O
,:179-194,B-PAGES
,.,O
,Also,O
,see,O
,M.,B-AUTHOR
,Matsumoto,I-AUTHOR
,&,O
,Y.,B-AUTHOR
,Kurita,I-AUTHOR
,",",O
,1994,B-YEAR
,.,O
,Twisted,B-TITLE
,GFSR,I-TITLE
,generators,I-TITLE
,II,I-TITLE
,.,O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Transactions,I-BOOKTITLE_OR_JOURNAL
,on,I-BOOKTITLE_OR_JOURNAL
,Modeling,I-BOOKTITLE_OR_JOURNAL
,and,I-BOOKTITLE_OR_JOURNAL
,Computer,I-BOOKTITLE_OR_JOURNAL
,Simulation,I-BOOKTITLE_OR_JOURNAL
,4:254-266,B-VOLUME
,),O
,Thanks,O
,to,O
,Colin,O
,Plumb,O
,for,O
,suggesting,O
,this,O
,.,O
,The,O
,mixing,O
,operation,O
,is,O
,much,O
,less,O
,sensitive,O
,than,O
,the,O
,output,O
,hash,O
,",",O
,where,O
,we,O
,use,O
,SHA-1,O
,.,O
,All,O
,that,O
,we,O
,want,O
,of,O
,mixing,O
,operation,O
,is,O
,that,O
,it,O
,be,O
,a,O
,good,O
,non-cryptographic,O
,hash,O
,;,O
,i.e,O
,.,O
,it,O
,not,O
,produce,O
,collisions,O
,when,O
,fed,O
,``,O
,random,O
,'',O
,data,O
,of,O
,the,O
,sort,O
,we,O
,expect,O
,to,O
,see,O
,.,O
,As,O
,long,O
,as,O
,the,O
,pool,O
,state,O
,differs,O
,for,O
,different,O
,inputs,O
,",",O
,we,O
,have,O
,preserved,O
,the,O
,input,O
,entropy,O
,and,O
,done,O
,a,O
,good,O
,job,O
,.,O
,The,O
,fact,O
,that,O
,an,O
,intelligent,O
,attacker,O
,can,O
,construct,O
,inputs,O
,that,O
,will,O
,produce,O
,controlled,O
,alterations,O
,to,O
,the,O
,pool,O
,'s,O
,state,O
,is,O
,not,O
,important,O
,because,O
,we,O
,do,O
,n't,O
,consider,O
,such,O
,inputs,O
,to,O
,contribute,O
,any,O
,randomness,O
,.,O
,The,O
,only,O
,property,O
,we,O
,need,O
,with,O
,respect,O
,to,O
,them,O
,is,O
,that,O
,the,O
,attacker,O
,ca,O
,n't,O
,increase,O
,his,O
,her,O
,knowledge,O
,of,O
,the,O
,pool,O
,'s,O
,state,O
,.,O
,Since,O
,all,O
,additions,O
,are,O
,reversible,O
,(,O
,knowing,O
,the,O
,final,O
,state,O
,and,O
,the,O
,input,O
,",",O
,you,O
,can,O
,reconstruct,O
,the,O
,initial,O
,state,O
,),O
,",",O
,if,O
,an,O
,attacker,O
,has,O
,any,O
,uncertainty,O
,about,O
,the,O
,initial,O
,state,O
,",",O
,he,O
,she,O
,can,O
,only,O
,shuffle,O
,that,O
,uncertainty,O
,about,O
,",",O
,but,O
,never,O
,cause,O
,any,O
,collisions,O
,(,O
,which,O
,would,O
,decrease,O
,the,O
,uncertainty,O
,),O
,.,O
,Our,O
,mixing,O
,functions,O
,were,O
,analyzed,O
,by,O
,Lacharme,B-AUTHOR
,",",O
,Roeck,B-AUTHOR
,",",O
,Strubel,B-AUTHOR
,",",O
,and,O
,Videau,B-AUTHOR
,in,O
,their,O
,paper,O
,",",O
,``,O
,The,B-TITLE
,Linux,I-TITLE
,Pseudorandom,I-TITLE
,Number,I-TITLE
,Generator,I-TITLE
,Revisited,I-TITLE
,'',O
,(,O
,see,O
,:,O
,http,B-URL
,:,I-URL
,eprint.iacr.org,I-URL
,2012,I-URL
,251.pdf,I-URL
,),O
,.,O
,In,O
,their,O
,paper,O
,",",O
,they,O
,point,O
,out,O
,that,O
,we,O
,are,O
,not,O
,using,O
,a,O
,true,O
,Twisted,O
,GFSR,O
,",",O
,since,O
,Matsumoto,O
,&,O
,Kurita,O
,used,O
,a,O
,trinomial,O
,feedback,O
,polynomial,O
,(,O
,that,O
,is,O
,",",O
,with,O
,only,O
,three,O
,taps,O
,",",O
,instead,O
,of,O
,the,O
,six,O
,that,O
,we,O
,are,O
,using,O
,),O
,.,O
,As,O
,a,O
,result,O
,",",O
,the,O
,resulting,O
,polynomial,O
,is,O
,neither,O
,primitive,O
,nor,O
,irreducible,O
,",",O
,and,O
,hence,O
,does,O
,not,O
,have,O
,a,O
,maximal,O
,period,O
,over,O
,GF,O
,(,O
,2,O
,32,O
,),O
,.,O
,They,O
,suggest,O
,a,O
,slight,O
,change,O
,to,O
,the,O
,generator,O
,polynomial,O
,which,O
,improves,O
,the,O
,resulting,O
,TGFSR,O
,polynomial,O
,to,O
,be,O
,irreducible,O
,",",O
,which,O
,we,O
,have,O
,made,O
,here.,O
,``,O
Sentence: 137,``,O
,Ceres,O
,Solver,O
,-,O
,A,O
,fast,O
,non-linear,O
,least,O
,squares,O
,minimizer,O
,Copyright,O
,2015,O
,Google,O
,Inc.,O
,All,O
,rights,O
,reserved,O
,.,O
,http,O
,:,O
,ceres-solver.org,O
,Redistribution,O
,and,O
,use,O
,in,O
,source,O
,and,O
,binary,O
,forms,O
,",",O
,with,O
,or,O
,without,O
,modification,O
,",",O
,are,O
,permitted,O
,provided,O
,that,O
,the,O
,following,O
,conditions,O
,are,O
,met,O
,:,O
,Redistributions,O
,of,O
,source,O
,code,O
,must,O
,retain,O
,the,O
,above,O
,copyright,O
,notice,O
,",",O
,this,O
,list,O
,of,O
,conditions,O
,and,O
,the,O
,following,O
,disclaimer,O
,.,O
,Redistributions,O
,in,O
,binary,O
,form,O
,must,O
,reproduce,O
,the,O
,above,O
,copyright,O
,notice,O
,",",O
,this,O
,list,O
,of,O
,conditions,O
,and,O
,the,O
,following,O
,disclaimer,O
,in,O
,the,O
,documentation,O
,and,O
,or,O
,other,O
,materials,O
,provided,O
,with,O
,the,O
,distribution,O
,.,O
,Neither,O
,the,O
,name,O
,of,O
,Google,O
,Inc.,O
,nor,O
,the,O
,names,O
,of,O
,its,O
,contributors,O
,may,O
,be,O
,used,O
,to,O
,endorse,O
,or,O
,promote,O
,products,O
,derived,O
,from,O
,this,O
,software,O
,without,O
,specific,O
,prior,O
,written,O
,permission,O
,.,O
,THIS,O
,SOFTWARE,O
,IS,O
,PROVIDED,O
,BY,O
,THE,O
,COPYRIGHT,O
,HOLDERS,O
,AND,O
,CONTRIBUTORS,O
,``,O
,AS,O
,IS,O
,'',O
,AND,O
,ANY,O
,EXPRESS,O
,OR,O
,IMPLIED,O
,WARRANTIES,O
,",",O
,INCLUDING,O
,",",O
,BUT,O
,NOT,O
,LIMITED,O
,TO,O
,",",O
,THE,O
,IMPLIED,O
,WARRANTIES,O
,OF,O
,MERCHANTABILITY,O
,AND,O
,FITNESS,O
,FOR,O
,A,O
,PARTICULAR,O
,PURPOSE,O
,ARE,O
,DISCLAIMED,O
,.,O
,IN,O
,NO,O
,EVENT,O
,SHALL,O
,THE,O
,COPYRIGHT,O
,OWNER,O
,OR,O
,CONTRIBUTORS,O
,BE,O
,LIABLE,O
,FOR,O
,ANY,O
,DIRECT,O
,",",O
,INDIRECT,O
,",",O
,INCIDENTAL,O
,",",O
,SPECIAL,O
,",",O
,EXEMPLARY,O
,",",O
,OR,O
,CONSEQUENTIAL,O
,DAMAGES,O
,(,O
,INCLUDING,O
,",",O
,BUT,O
,NOT,O
,LIMITED,O
,TO,O
,",",O
,PROCUREMENT,O
,OF,O
,SUBSTITUTE,O
,GOODS,O
,OR,O
,SERVICES,O
,;,O
,LOSS,O
,OF,O
,USE,O
,",",O
,DATA,O
,",",O
,OR,O
,PROFITS,O
,;,O
,OR,O
,BUSINESS,O
,INTERRUPTION,O
,),O
,HOWEVER,O
,CAUSED,O
,AND,O
,ON,O
,ANY,O
,THEORY,O
,OF,O
,LIABILITY,O
,",",O
,WHETHER,O
,IN,O
,CONTRACT,O
,",",O
,STRICT,O
,LIABILITY,O
,",",O
,OR,O
,TORT,O
,(,O
,INCLUDING,O
,NEGLIGENCE,O
,OR,O
,OTHERWISE,O
,),O
,ARISING,O
,IN,O
,ANY,O
,WAY,O
,OUT,O
,OF,O
,THE,O
,USE,O
,OF,O
,THIS,O
,SOFTWARE,O
,",",O
,EVEN,O
,IF,O
,ADVISED,O
,OF,O
,THE,O
,POSSIBILITY,O
,OF,O
,SUCH,O
,DAMAGE,O
,.,O
,Author,O
,:,O
,sameeragarwal,O
,@,O
,google.com,O
,(,O
,Sameer,O
,Agarwal,O
,),O
,Test,O
,problems,O
,from,O
,the,O
,paper,O
,Testing,B-TITLE
,Unconstrained,I-TITLE
,Optimization,I-TITLE
,Software,I-TITLE
,Jorge,B-AUTHOR
,J,B-AUTHOR
,.,I-AUTHOR
,More,I-AUTHOR
,",",O
,Burton,B-AUTHOR
,S.,I-AUTHOR
,Garbow,I-AUTHOR
,and,O
,Kenneth,B-AUTHOR
,E.,I-AUTHOR
,Hillstrom,I-AUTHOR
,ACM,B-BOOKTITLE_OR_JOURNAL
,Transactions,I-BOOKTITLE_OR_JOURNAL
,on,I-BOOKTITLE_OR_JOURNAL
,Mathematical,I-BOOKTITLE_OR_JOURNAL
,Software,I-BOOKTITLE_OR_JOURNAL
,",",O
,7,B-VOLUME
,(,O
,1,B-NUMBER
,),O
,",",O
,pp,B-PAGES
,.,I-PAGES
,17-41,I-PAGES
,",",O
,1981,B-YEAR
,A,O
,subset,O
,of,O
,these,O
,problems,O
,were,O
,augmented,O
,with,O
,bounds,O
,and,O
,used,O
,for,O
,testing,O
,bounds,O
,constrained,O
,optimization,O
,algorithms,O
,by,O
,A,B-TITLE
,Trust,I-TITLE
,Region,I-TITLE
,Approach,I-TITLE
,to,I-TITLE
,Linearly,I-TITLE
,Constrained,I-TITLE
,Optimization,I-TITLE
,David,B-AUTHOR
,M.,I-AUTHOR
,Gay,I-AUTHOR
,Numerical,B-BOOKTITLE_OR_JOURNAL
,Analysis,I-BOOKTITLE_OR_JOURNAL
,(,O
,Griffiths,O
,",",O
,D.F.,O
,",",O
,ed,O
,.,O
,),O
,",",O
,pp,B-PAGES
,.,I-PAGES
,72-105,I-PAGES
,Lecture,O
,Notes,O
,in,O
,Mathematics,O
,1066,O
,",",O
,Springer,B-PUBLISHER
,Verlag,I-PUBLISHER
,",",O
,1984,B-YEAR
,.,O
,The,O
,latter,O
,paper,O
,is,O
,behind,O
,a,O
,paywall,O
,.,O
,We,O
,obtained,O
,the,O
,bounds,O
,on,O
,the,O
,variables,O
,and,O
,the,O
,function,O
,values,O
,at,O
,the,O
,global,O
,minimums,O
,from,O
,http,O
,:,O
,www.mat.univie.ac.at,O
,~neum,O
,glopt,O
,bounds.html,O
,A,O
,problem,O
,is,O
,considered,O
,solved,O
,if,O
,of,O
,the,O
,log,O
,relative,O
,error,O
,of,O
,its,O
,objective,O
,function,O
,is,O
,at,O
,least,O
,4,O
,.,O
,'',O
Sentence: 138,``,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,-,O
,Copyright,O
,(,O
,C,O
,),O
,2016,O
,",",O
,2017,O
,by,O
,piwi,O
,This,O
,code,O
,is,O
,licensed,O
,to,O
,you,O
,under,O
,the,O
,terms,O
,of,O
,the,O
,GNU,O
,GPL,O
,",",O
,version,O
,2,O
,or,O
,",",O
,at,O
,your,O
,option,O
,",",O
,any,O
,later,O
,version,O
,.,O
,See,O
,the,O
,LICENSE.txt,O
,file,O
,for,O
,the,O
,text,O
,of,O
,the,O
,license,O
,.,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,-,O
,Implements,O
,a,O
,card,O
,only,O
,attack,O
,based,O
,on,O
,crypto,O
,text,O
,(,O
,encrypted,O
,nonces,O
,received,O
,during,O
,a,O
,nested,O
,authentication,O
,),O
,only,O
,.,O
,Unlike,O
,other,O
,card,O
,only,O
,attacks,O
,this,O
,does,O
,n't,O
,rely,O
,on,O
,implementation,O
,errors,O
,but,O
,only,O
,on,O
,the,O
,inherent,O
,weaknesses,O
,of,O
,the,O
,crypto1,O
,cypher,O
,.,O
,Described,O
,in,O
,Carlo,B-AUTHOR
,Meijer,I-AUTHOR
,",",O
,Roel,O
,Verdult,B-AUTHOR
